Problem,Rationale
"two consultants can type up a report in 12.5 hours and edit it in 7.5 hours . if mary needs 30 hours to type the report and jim needs 12 hours to edit it alone , how many t hours will it take if jim types the report and mary edits it immediately after he is done ?","""break down the problem into two pieces : typing and editing . mary needs 30 hours to type the report - - > mary ' s typing rate = 1 / 30 ( rate reciprocal of time ) ( point 1 in theory below ) ; mary and jim can type up a report in 12.5 and - - > 1 / 30 + 1 / x = 1 / 12.5 = 2 / 25 ( where x is the time needed for jim to type the report alone ) ( point 23 in theory below ) - - > x = 150 / 7 ; jim needs 12 hours to edit the report - - > jim ' s editing rate = 1 / 12 ; mary and jim can edit a report in 7.5 and - - > 1 / y + 1 / 12 = 1 / 7.5 = 2 / 15 ( where y is the time needed for mary to edit the report alone ) - - > y = 20 ; how many t hours will it take if jim types the report and mary edits it immediately after he is done - - > x + y = 150 / 7 + 20 = ~ 41.4 answer : a ."""
"an amount of rs . 1638 was divided among a , b and c , in the ratio 1 / 2 : 1 / 3 : 1 / 4 . find the share of a ?","let the shares of a , b and c be a , b and c respectively . a : b : c = 1 / 2 : 1 / 3 : 1 / 4 let us express each term with a common denominator which is the last number divisible by the denominators of each term i . e . , 12 . a : b : c = 6 / 12 : 4 / 12 : 3 / 12 = 6 : 4 : 3 . share of a = 6 / 13 * 1638 = rs . 756 answer : c"
what least value should be replaced by * in 2551112 * so the number become divisible by 6,"""explanation : trick : number is divisible by 6 , if sum of all digits is divisible by 3 and 2 , so ( 2 + 5 + 5 + 1 + 1 + 1 + 2 + * ) = 17 + * should be divisible by , 17 + 1 will be divisible by 3 , but we ca n ' t take this number because 1 is not dividable by 2 ( 2 only dividable by those numbers who contain even number at last position ) so that least number is 4 . answer : option b"""
what number is obtained by adding the units digits of 734 ^ 100 and 347 ^ 83 ?,"""the units digit of 734 ^ 100 is 6 because 4 raised to the power of an even integer ends in 6 . the units digit of 347 ^ 83 is 3 because powers of 7 end in 7 , 9 , 3 , or 1 cyclically . since 83 is in the form 4 n + 3 , the units digit is 3 . then 6 + 3 = 9 . the answer is c ."""
"in two triangles , the ratio of the areas is 4 : 3 and the ratio of their heights is 3 : 4 . find the ratio of their bases .","sol . let the bases of the two triangles be x and y and their heights be 3 h and 4 h respectively . then , ( ( 1 / 2 ) x xx 3 h ) / ( 1 / 2 ) x y x 4 h ) = 4 / 3  x / y = ( 4 / 3 x 4 / 3 ) = 16 / 9 required ratio = 16 : 9 . ans : c"
a trader sells 40 metres of cloth for rs . 8200 at a profit of rs . 15 per metre of cloth . how much profit will the trder earn on 40 metres of cloth ?,"""explanation : sp of 1 metre cloth = 8200 / 40 = rs . 205 . cp of 1 metre cloth = rs . 205 – 15 = rs . 190 cp on 40 metres = 190 x 40 = rs . 7600 profit earned on 40 metres cloth = rs . 8200 – rs . 7600 = rs . 600 . answer : option c"""
what is the probability of drawing a queen from a deck of 52 cards ?,"""total number of cards , n ( s ) = 52 total number of queen cards , n ( e ) = 4 p ( e ) = n ( e ) / n ( s ) = 4 / 52 = 1 / 13 option b is answer"""
a thief goes away with a santro car at a speed of 50 kmph . the theft has been discovered after half an hour and the owner sets off in a bike at 60 kmph when will the owner over take the thief from the start ?,"""explanation : | - - - - - - - - - - - 20 - - - - - - - - - - - - - - - - - - - - | 60 50 d = 20 rs = 60 – 50 = 10 t = 20 / 10 = 2 hours answer : option a"""
the average weight of 18 boys in a class is 50.25 kg and that of the remaining 8 boys is 45.15 kg . find the average weights of all the boys in the class .,"""explanation : average weight of 18 boys = 50.25 total weight of 18 boys = 50.25 × 18 average weight of remaining 8 boys = 45.15 total weight of remaining 8 boys = 45.15 × 8 total weight of all boys in the class = ( 50.25 × 18 ) + ( 45.15 × 8 ) total boys = 18 + 8 = 26 average weight of all the boys = ( 50.25 × 18 ) + ( 45.15 × 8 ) / 26 = 48.68077 answer : option a"""
"how many words , with or without meaning , can be formed using all letters of the word good using each letter exactly once ?","""the word good has exactly 4 letters which are all different . therefore the number of words that can be formed = number of permutations of 4 letters taken all at a time . = p ( 4 , 4 ) = 4 ! = 4 x 3 x 2 × 1 = 24 answer : e"""
"in right triangle abc , ac is the hypotenuse . if ac is 40 and ab + bc = 60 , what is the area of the triangle abc ?","""square ab + bc = 60 : ( ab ) ^ 2 + 2 * ab * bc + ( bc ) ^ 2 = 3600 . since ( ac ) ^ 2 = ( ab ) ^ 2 + ( bc ) ^ 2 = 40 ^ 2 = 1600 , then ( ab ) ^ 2 + 2 * ab * bc + ( bc ) ^ 2 = 1600 + 2 * ab * bc = 3600 . 1600 + 2 * ab * bc = 3600 . ab * bc = 1000 . the area = 1 / 2 * ab * bc = 500 . answer : d ."""
the ratio of the area of a square to that of the square drawn on its diagonal is,answer : a ) 1 : 2
a 4 digit number divisible by 7 becomes divisible by 3 when 19 is added to it . the largest such number is :,"out of all the 5 options , only 4487 is not divisible by 3 . all others are divisible so answer = d ( no further calculation required ) addition of any two non - divisible numbers by 3 gives the resultant divisible by 3 19 is non - divisible by 3 ; we are adding a number to that so that the resultant becomes divisible by 3 applying the above rule , it means that the number which we are going to add should be non - divisible by 3 so comes the answer = 4487 answer : d"
what is the probability for a family with 3 children to have a girl and two boys ( assuming the probability of having a boy or a girl is equal ) ?,one possible case is : girl - boy - boy the probability of this is 1 / 2 * 1 / 2 * 1 / 2 = 1 / 8 there are 3 c 2 = 3 such cases so we should multiply by 3 . p ( one girl and two boys ) = 3 / 8 the answer is d .
"a manufacturer produces a certain men ' s athletic shoe in integer sizes from 8 to 17 . for this particular shoe , each unit increase in size corresponds to a 1 / 5 - inch increase in the length of the shoe . if the largest size of this shoe is 30 % longer than the smallest size , how long , in inches , is the shoe in size 15 ?","""let x be the length of the size 8 shoe . then 0.3 x = 9 / 5 x = 90 / 15 = 6 inches the size 15 shoe has a length of 6 + 7 / 5 = 7.4 inches the answer is b ."""
if x + | x | + y = 7 and x + | y | - y = 5 what is x + y = ?,"""if x < 0 and y < 0 , then we ' ll have x - x + y = 7 and x - y - y = 6 . from the first equation y = 7 , so we can discard this case since y is not less than 0 . if x > = 0 and y < 0 , then we ' ll have x + x + y = 7 and x - y - y = 6 . solving gives x = 4 > 0 and y = - 1 < 0 - - > x + y = 3 . since in ps questions only one answer choice can be correct , then the answer is c ( so , we can stop here and not even consider other two cases ) . answer : c . adding both eqn we get 2 x + ixi + iyi = 13 now considering x < 0 and y > 0 2 x - x + y = 13 we get x + y = 5 hence answer should be d"""
a 240 m long train running at the speed of 120 km / hr crosses another train running in opposite direction at the speed of 80 km / hr in 9 sec . what is the length of the other train ?,"""relative speed = 120 + 80 = 200 km / hr . = 200 * 5 / 18 = 500 / 9 m / sec . let the length of the other train be x m . then , ( x + 240 ) / 9 = 500 / 9 = > x = 260 . answer : option a"""
"34 . the side surface of a cylinder is rolled with a rectangular plate . if the perimeter of the circular base is 9 feet , and the diagonal of the rectangular plate was 15 ft . what is height of the of the cylinder ?","think of a pringles can . if you took off the bottom and top and cut a slit down the length , it would flatten to a rectangle . the dimensions of the rectangle are the height of the can and the circumference of the circle . since you know both , one side and thehypothenuse use pythagoreans theorem or properties of 3 - 4 - 5 triangles to solve for the other side , 12 . correct answer a"
what quantity of water should be added to reduce 9 liters of 50 % acidic liquid to 30 % acidic liquid ?,acid in 9 liters = 50 % of 9 = 4.5 liters suppose x liters of water be added . then 4.5 liters of acid in 9 + x liters of diluted solution 30 % of 9 + x = 4.5 27 + 3 x = 45 x = 6 liters answer is a
"a man gains 20 % by selling an article for a certain price . if the sells it at double the price , the percentage of profit will be :","""let c . p . = rs . x . then , s . p . = rs . ( 12 % of x ) = rs . 6 x / 5 new s . p . = 2 * 6 x / 5 = rs . 12 x / 5 profit = 12 x / 5 - x = rs . 7 x / 5 profit = 7 x / 5 * 1 / x * 100 = 140 % . \ answer : d"""
"the average weight of 20 persons sitting in a boat had some value . a new person added to them whose weight was 46 kg only . due to his arrival , the average weight of all the persons decreased by 5 kg . find the average weight of first 20 persons ?","""20 x + 46 = 21 ( x – 5 ) x = 59 answer : e"""
"a and b can together finish a work in 40 days . they worked together for 10 days and then b left . after another 18 days , a finished the remaining work . in how many days a alone can finish the job ?",a + b 10 days work = 10 * 1 / 40 = 1 / 4 remaining work = 1 - 1 / 4 = 3 / 4 3 / 4 work is done by a in 18 days whole work will be done by a in 18 * 4 / 3 = 24 days answer is b
"a student gets 55 % in one subject , 65 % in the other . to get an overall of 55 % how much should get in third subject .","""let the 3 rd subject % = x 55 + 65 + x = 3 * 55 120 + x = 165 x = 165 - 120 = 45 answer : c"""
"in an election between two candidates , the winner has a margin of 10 % of the votes polled . if 4000 people change their mind and vote for the loser , the loser would have won by a margin of 10 % of the votes polled . find the total number of votes polled in the election ?","""winner - looser 55 % - 45 % if 4000 people change their mind and vote for the loser : winner - looser 45 % - 55 % thus 4,000 people compose 25 % of all voters , which means that the total number of votes is 40,000 answer : c"""
"there are 28 stations between ernakulam and chennai . how many second class tickets have to be printed , so that a passenger can travel from one station to any other station ?","""the total number of stations = 30 from 30 stations we have to choose any two stations and the direction of travel ( ernakulam to chennai is different from chennai to ernakulam ) in 30 p 2 ways . 30 p 2 = 30 * 29 = 870 answer : d"""
what percent is 7 gm of 1 kg ?,"""1 kg = 1000 gm 7 / 1000 × 100 = 700 / 1000 = 7 / 10 = 0.7 % a )"""
the wages earned by robin is 40 % more than that earned by erica . the wages earned by charles is 60 % more than that earned by erica . how much percent is the wages earned by charles more than that earned by robin ?,"""let wage of erica = 10 wage of robin = 1.4 * 10 = 14 wage of charles = 1.6 * 10 = 16 percentage by which wage earned by charles is more than that earned by robin = ( 16 - 14 ) / 14 * 100 % = 2 / 14 * 100 % = 14 % answer a"""
"25 is subtracted from 75.00001 % of a number , the result is 50 . find the number ?","""( 75 / 100 ) * x â € “ 25 = 50 7.5 x = 750 x = 100 answer : e"""
"an association of mathematics teachers has 1,500 members . only 525 of these members cast votes in the election for president of the association . what percent of the total membership voted for the winning candidate if the winning candidate received 60 percent of the votes cast ?","""total umber of members = 1500 number of members that cast votes = 525 since , winning candidate received 60 percent of the votes cast number of votes for winning candidate = ( 60 / 100 ) * 525 = 315 percent of total membership that voted for winning candidate = ( 315 / 1500 ) * 100 = 21 % answer e"""
half a number plus 7 is 11 . what is the number ?,"""let x be the number . always replace ` ` is ' ' with an equal sign ( 1 / 2 ) x + 7 = 11 ( 1 / 2 ) x = 11 - 7 ( 1 / 2 ) x = 4 x = 8 correct answer is a"""
"if 5 % more is gained by selling an article for rs . 1000 than by selling it for rs . 20 , the cost of the article is ?","""let c . p . be rs . x . then , 5 % of x = 1000 - 20 = 80 x / 20 = 80 = > x = 1600 answer : b"""
"of the total amount that jill spent on a shopping trip , excluding taxes , she spent 25 percent on clothing , 25 percent on food , and 50 percent on other items . if jill paid a 10 percent tax on the clothing , no tax on the food , and an 2 percent tax on all other items , then the total tax that she paid was what percent of the total amount that she spent , excluding taxes ?","""assume she has $ 200 to spend . tax clothing = 25 % = $ 50 = $ 5 food = 25 % = $ 50 = $ 0.00 items = 50 % = $ 100 = $ 2.00 total tax = $ 20.00 % of total amount = 7 / 200 * 100 = 3.5 % answer d"""
"in a certain pond , 55 fish were caught , tagged , and returned to the pond . a few days later , 55 fish were caught again , of which 2 were found to have been tagged . if the percent of tagged fish in the second catch approximates the percent of tagged fish in the pond , what ` s the approximate number of fish in the pond ?","""the percent of tagged fish in the second catch is 2 / 55 * 100 = 3.64 % . we are told that 3.64 % approximates the percent of tagged fish in the pond . since there are 55 tagged fish , then we have 0.036 x = 55 - - > x = 1,528 . answer : d ."""
how many 1 / 6 s are there in 37 1 / 2 ?,required number = ( 75 / 2 ) / ( 1 / 6 ) = ( 75 / 2 x 6 / 1 ) = 225 . answer : a
"what is the smallest positive perfect square that is divisible by 4 , 9 , and 18 ?","""the number needs to be divisible by 2 ^ 2 , 3 ^ 2 , and 2 * 3 ^ 2 . the smallest such perfect square is 2 ^ 2 * 3 ^ 2 = 36 the answer is a ."""
the ratio between the present ages of a and b is 7 : 3 respectively . the ratio between a ' s age 4 years ago and b ' s age 4 years hence is 1 : 1 . what is the ratio between a ' s age 4 years hence and b ' s age 4 years ago ?,"""let the present ages of a and b be 7 x and 3 x years respectively . then , ( 7 x - 4 ) / ( 3 x + 4 ) = 1 / 1 4 x = 8 = > x = 2 required ratio = ( 5 x + 4 ) : ( 3 x - 4 ) = 18 : 2 = 9 : 1 . answer : c"""
two vessels contains equal number of mixtures milk and water in the ratio 3 : 2 and 4 : 1 . both the mixtures are now mixed thoroughly . find the ratio of milk to water in the new mixture so obtained ?,"""the ratio of milk and water in the new vessel is = ( 3 / 5 + 4 / 5 ) : ( 2 / 5 + 1 / 5 ) = 7 / 5 : 3 / 5 = 7 : 3 answer is d"""
"from a pack of 52 cards , 1 card is drawn at random . what is the probability that a red king is drawn ?","""the total number of cards is 52 . the number of red kings is 2 . p ( red king ) = 2 / 52 = 1 / 26 the answer is d ."""
"if sharon ' s weekly salary increased by 15 percent , she would earn $ 460 per week . if instead , her weekly salary were to increase by 10 percent , how much would she earn per week ?",soln : - 460 / 115 ) 110 = 385 in this case long division does not take much time . ( 4 / 1 ) 110 = rs . 440 answer : b
a fruit seller had some oranges . he sells 10 % oranges and still has 360 oranges . how many oranges he had originally ?,"""explanation : he sells 10 % of oranges and still there are 360 oranges remaining = > 90 % of oranges = 360 ⇒ ( 90 × total oranges ) / 100 = 360 ⇒ total oranges / 100 = 4 ⇒ total oranges = 4 × 100 = 400 answer : option d"""
"because he ’ s taxed by his home planet , mork pays a tax rate of 40 % on his income , while mindy pays a rate of only 20 % on hers . if mindy earned 4 times as much as mork did , what was their combined tax rate ?","""say morks income is - 100 so tax paid will be 40 say mindys income is 4 * 100 = 400 so tax paid is 20 % * 400 = 80 total tax paid = 40 + 80 = 120 . combined tax % will be 120 / 100 + 400 = 24 %"""
"it is the new year and mandy has made a resolution to lose weight this year . she plans to exercise and do yoga . for exercise she plans to workout at the gym and ride her bicycle in the ratio of 2 : 3 everyday . she will also do yoga in the ratio , yoga : exercise = 2 : 3 . if she rides her bike for 10 minutes , how much time will she spend doing yoga ? ( rounded to minutes )","""the ratio is 2 : 3 = gym : ride , so ( 10 ) ( 3 / 2 ) = 15 minutes at the gym , and 15 + 10 = 25 minutes exercise , so ( 2 / 3 ) ( 25 ) = 17 minutes yoga . answer : c"""
"the length of the bridge , which a train 180 metres long and travelling at 45 km / hr can cross in 30 seconds , is ?","""speed = [ 45 x 5 / 18 ] m / sec = [ 25 / 2 ] m / sec time = 30 sec let the length of bridge be x metres . then , ( 180 + x ) / 30 = 25 / 2 = > 2 ( 180 + x ) = 750 = > x = 195 m . answer : c"""
the difference of 2 digit number & the number obtained by interchanging the digits is 36 . what is the difference the sum and the number if the ratio between the digits of the number is 1 : 2 ?,"let the number be xy . given xy – yx = 36 . this means the number is greater is than the number got on reversing the digits . this shows that the ten ’ s digit x > unit digit y . also given ratio between digits is 1 : 2 = > x = 2 y ( 10 x + y ) – ( 10 y + x ) = 36 = > x – y = 4 = > 2 y – y = 4 . hence , ( x + y ) – ( x – y ) = 3 y – y = 2 y = 8 b"
"at the faculty of aerospace engineering , 312 students study random - processing methods , 232 students study scramjet rocket engines and 112 students study them both . if every student in the faculty has to study one of the two subjects , how many students are there in the faculty of aerospace engineering ?","""students studying random - processing methods = 312 students studying scramjet rocket engines = 232 students studying them both = 112 therefore ; students studying only random processing methods = 312 - 112 = 200 students studying only scramjet rocket engines = 232 - 112 = 120 students studying both = 112 students studying none = 0 ( as mentioned in question that every student in the faculty has to study one of the two subjects ) total students in faculty of aerospace engineering = students of only random processing methods + students of only scramjet rocket engines + both + none total number of students = 200 + 120 + 112 + 0 = 432 . . . . answer d"""
"if the average ( arithmetic mean ) of a and b is 100 , and the average of b and c is 160 , what is the value of a − c ?","""question : a - c = ? ( a + b ) / 2 = 100 = = = > a + b = 200 ( b + c ) / 2 = 160 = = = > b + c = 320 ( a + b ) - ( b + c ) = 200 - 320 = = = > a + b - b - c = - 120 = = = > a - c = - 120 answer : a"""
"in a company of 11 employees , 5 employees earn $ 32,000 , 4 employees earn $ 45,000 , and the 2 highest - paid employees earn the same amount . if the average annual salary for the 11 employees is $ 48,000 , what is the annual salary for each of the highest - paid employees ?","""5 * 32,000 + 4 * 45,000 + 2 x = 11 * 48,000 2 x = 528,000 - 160,000 - 180,000 2 x = 188,000 x = 94,000 the answer is b ."""
"if n = 2 ^ 0.20 and n ^ b = 16 , b must equal","""20 / 100 = 1 / 5 n = 2 ^ 1 / 5 n ^ b = 2 ^ 4 ( 2 ^ 1 / 5 ) ^ b = 2 ^ 4 b = 20 answer : c"""
a man buys an item at rs . 800 and sells it at the loss of 20 percent . then what is the selling price of that item,"""explanation : here always remember , when ever x % loss , it means s . p . = ( 100 - x ) % of c . p when ever x % profit , it means s . p . = ( 100 + x ) % of c . p so here will be ( 100 - x ) % of c . p . = 80 % of 800 = 80 / 100 * 800 = 640 option a"""
find the expenditure on digging a well 14 m deep and of 3 m diameter at rs . 14 per cubic meter ?,"""22 / 7 * 14 * 3 / 2 * 3 / 2 = 99 m 2 99 * 14 = 1386 answer : a"""
"rani bought more apples than oranges . she sells apples at ₹ 23 apiece and makes 15 % profit . she sells oranges at ₹ 10 apiece and makes 25 % profit . if she gets ₹ 653 after selling all the apples and oranges , find her profit percentage z .","""given : selling price of an apple = 23 - - > cost price = 23 / 1.15 = 20 selling price of an orange = 10 - - > cost price = 10 / 1.25 = 8 a > o 23 * ( a ) + 10 * ( o ) = 653 653 - 23 * ( a ) has to be divisible by 10 - - > units digit has to be 0 values of a can be 1 , 11 , 21 , 31 , . . . . - - > 1 can not be the value between 11 and 21 , if a = 11 , o = 30 - - > not possible if a = 21 , o = 17 - - > possible cost price = 20 * 21 + 8 * 17 = 420 + 136 = 556 profit = 653 - 556 = 97 profit % z = ( 97 / 556 ) * 100 = 17.4 % answer : b"""
"the sum of digits of a two digit number is 13 , the difference between the digits is 5 . find the number","""description : = > x + y = 13 , x - y = 5 adding these 2 x = 18 = > x = 9 , y = 4 . thus the number is 94 answer b"""
"if 8 men or 12 women can do a piece of work in 25 days , in how many days can the same work be done by 6 men and 11 women ?","""8 men = 12 women ( i . e 2 men = 3 women ) 12 women 1 day work = 1 / 25 soln : 6 men ( 9 women ) + 11 women = 20 women = ? 1 women 1 day work = 12 * 25 = 1 / 300 so , 20 women work = 20 / 300 = 1 / 15 ans : 15 days answer : d"""
a train 140 meters long takes 6 seconds to cross a man walking at 5 kmph in the direction opposite to that of the train . find the speed of the train .,"""explanation : let the speed of the train be x kmph . speed of the train relative to man = ( x + 5 ) kmph = ( x + 5 ) × 5 / 18 m / sec . therefore 140 / ( ( x + 5 ) × 5 / 18 ) = 6 < = > 30 ( x + 5 ) = 2520 < = > x = 79 speed of the train is 79 kmph . answer : option e"""
"a train 125 m long passes a man , running at 5 km / hr in the same direction in which the train is going , in 10 seconds . the speed of the train is :","""speed of the train relative to man = ( 125 / 10 ) m / sec = ( 25 / 2 ) m / sec . [ ( 25 / 2 ) * ( 18 / 5 ) ] km / hr = 45 km / hr . let the speed of the train be x km / hr . then , relative speed = ( x - 5 ) km / hr . x - 5 = 45 = = > x = 50 km / hr . answer : b"""
0.002 x 0.6 = ?,"""explanation : 2 x 6 = 12 . sum of decimal places = 4 0.002 x 0.6 = 0.0012 answer - a"""
find the average of all the number between 6 and 34 which are divisible by 5 .,"""solution average = ( 10 + 15 + 20 + 25 + 30 / 5 ) = 100 / 2 = 20 answer b"""
if the wheel is 14 cm then the number of revolutions to cover a distance of 880 cm is ?,"""2 * 22 / 7 * 14 * x = 880 = > x = 10 answer : b"""
"a and b can do a piece of work in 7 days , b and c in 8 days , c and a in 9 days . how long will c take to do it ?","""2 c = 1 / 8 + 1 / 9 – 1 / 7 = 47 / 504 c = 47 / 1008 = > 1008 / 47 = 21.4 days the answer is c ."""
"oil cans x and y are right circular cylinders and the height and radius of y are each 5 times those of x . if the oil in can x filled to capacity sells for $ 1 , how much does the oil in y sell for if y is only 1 / 5 th filled ?","""formula for vol of a cyl is pi * r ^ 2 * h so vy = 125 * vy y when half filled will cost 25 times x so ans is a"""
"what is the smallest positive integer x , such that 1,152 x is a perfect cube ?","""we need to make 1152 x a perfect cube , hence we need to have the powers a multiple of 3 1152 = 2 ^ 7 * 3 ^ 2 the minimum value of x for which 1152 x is a perfect cube = 2 ^ 2 * 3 = 12 correct option : d"""
"car x began traveling at an average speed of 35 miles per hour . after 36 minutes , car y began traveling at an average speed of 38 miles per hour . when both cars had traveled the same distance , both cars stopped . how many miles did car x travel from the time car y began traveling until both cars stopped ?","""in 36 minutes , car x travels 21 miles . car y gains 3 miles each hour , so it takes 7 hours to catch car x . in 7 hours , car x travels 245 miles . the answer is e ."""
"cindy has her eye on a sundress but thinks it is too expensive . it goes on sale for 15 % less than the original price . before cindy can buy the dress , however , the store raises the new price by 25 % . if the dress cost $ 51 after it went on sale for 15 % off , what is the difference between the original price and the final price ?","""0.85 * { original price } = $ 51 - - > { original price } = $ 60 . { final price } = $ 51 * 1.25 = $ 63.75 . the difference = $ 63.75 - 60 $ = $ 3.75 . answer : c ."""
2 trains starting at the same time from 2 stations 200 km apart and going in opposite direction cross each other at a distance of 110 km from one of the stations . what is the ratio of their speeds ?,"in same time , they cover 110 km & 90 km respectively so ratio of their speed = 110 : 90 = 11 : 9 answer : a"
"a grocer has a sale of rs . 4435 , rs . 4927 , rs . 4855 , rs . 5230 and rs . 4562 for 5 consecutive months . how much sale must he have in the sixth month so that he gets an average sale of rs . 4500 ?","""total sale for 5 months = rs . ( 4435 + 4927 + 4855 + 5230 + 4562 ) = rs . 24009 . required sale = rs . [ ( 4500 x 6 ) - 24009 ] = rs . ( 27000 - 24009 ) = rs . 2991 answer : option b"""
"the set s consists of 5 numbers : { 1 , 2,3 , 4,5 } . if all possible subsets including the null set are created and one subset is chosen at random , what is the probability that the subset has 4 or 5 as its largest number ?","""the set s has 2 ^ 5 = 32 subsets . the number 5 is in half of these subsets . thus 5 is the largest number in 16 subsets of s . of the remaining 16 subsets , 4 is an element in 8 of them . thus 4 is the largest number in 8 subsets of s . the probability that 4 or 5 is the largest number is 24 / 32 = 3 / 4 . the answer is c ."""
"at the wholesale store you can buy an 8 - pack of hot dogs for $ 1.55 , a 20 - pack for $ 3.05 , and a 250 - pack for $ 22.95 . what is the greatest number of hot dogs you can buy at this store with $ 211 ?","""i think it should be e . i can buy 8 250 - pack for rs 22.95 * 8 = $ 183.60 now , i can buy 9 20 - pack for 3.05 * 9 = $ 15.25 now , i am left with only $ 1.15 . i can not but anything with this . hence total hotdogs = 250 * 8 + 20 * 9 = 2180"""
what is the sum of all 3 digit integers formed using the digits 34 and 5 ( repetition is allowed ),n = 3 * 3 * 3 = 27 = ( 555 + 333 ) / 2 = 444 sum = number of integers x average value n * = 27 * 444 = 11988 answer = d
"two men are going along a track rail in the opposite direction . one goods train crossed the first person in 20 sec . after 10 min the train crossed the other person who is coming in opposite direction in 18 sec . after the train has passed , when the two persons will meet ?","explanation : let us consider that speed of train , first man and second man are respectively t , f and s . according to first given condition goods train crossed the first person moving in same direction in 20 sec . so length of the will be 20 ( t - f ) similarly train crossed the second man in 18 sec . so length of the train will be 18 ( t + s ) on comparing these two equations , we get 20 ( t - f ) = 18 ( t + s ) = > 2 t = 20 f + 18 s = > t = 10 f + 9 s now it is given that after 10 min the train crossed the other person who is coming in opposite direction . so , if we consider this way of train as l then the next equation will be l = 600 t ( here 600 is used for 10 minutes ) finally as asked in the question the time required to meet the two man after the train has passed will be given by time = ( l - 600 f ) / ( f + s ) { here 600 f is used for the distance traveled by first man in 10 minutes } = > = ( 600 t - 600 f ) / ( f + s ) = > = [ 600 ( 10 f + 9 s ) - 600 f ] / ( f + s ) = > = 600 ( 10 f + 9 s - f ) / ( f + s ) = 600 * 9 ( f + s ) / ( f + s ) = > = 600 * 9 seconds = > = 600 * 9 / 60 min = > = 90 minutes hence ( b ) is the correct answer . answer : b"
"one pipe can fill a tank three times as fast as another pipe . if together the two pipes can fill tank in 35 min , then the slower pipe alone will be able to fill the tank in ?","""let the slower pipe alone fill the tank in x min . then , faster pipe will fill it in x / 3 min . 1 / x + 3 / x = 1 / 35 4 / x = 1 / 35 = > x = 140 min . answer : e"""
"if x ^ 2 + y ^ 2 = 20 and xy = 3 , then ( x − y ) ^ 2 =","""but you can not take xy + 3 to mean xy = - 3 . . only if xy + 3 = 0 , it will mean xy = - 3 . . rest your solution is perfect and you will get your correct answer as 20 - 2 * 3 = 14 . . answer c"""
